Time,Well,NADH
0 days 00:00:31,G23,0.3260602029808226
0 days 00:01:10,G23,0.32612566377242685
0 days 00:01:49,G23,0.3271075756464908
0 days 00:02:28,G23,0.32750034039611636
0 days 00:03:07,G23,0.3280240267289505
0 days 00:03:46,G23,0.32789310514574194
0 days 00:04:25,G23,0.3282204091037632
0 days 00:05:04,G23,0.32835133068697175
0 days 00:05:43,G23,0.32874409543659733
0 days 00:06:22,G23,0.3282204091037632
0 days 00:07:01,G23,0.3280894875205548
0 days 00:07:40,G23,0.3282204091037632
0 days 00:08:19,G23,0.32874409543659733
0 days 00:08:58,G23,0.32815494831215897
0 days 00:09:37,G23,0.32750034039611636
0 days 00:10:16,G23,0.3273039580213036
0 days 00:10:55,G23,0.32828586989536757
0 days 00:11:34,G23,0.32750034039611636
0 days 00:12:13,G23,0.3280240267289505
0 days 00:12:52,G23,0.32769672277092915
0 days 00:13:31,G23,0.32750034039611636
0 days 00:14:10,G23,0.32763126197932496
0 days 00:14:49,G23,0.3273694188129078
0 days 00:15:28,G23,0.3268457324800738
0 days 00:16:07,G23,0.3277621835625334
0 days 00:16:46,G23,0.32717303643809503
0 days 00:17:25,G23,0.32717303643809503
0 days 00:18:04,G23,0.3271075756464908
0 days 00:18:43,G23,0.3269766540632823
0 days 00:19:22,G23,0.326911193271678
0 days 00:20:01,G23,0.32750034039611636
0 days 00:20:40,G23,0.3272384972296994
0 days 00:21:19,G23,0.3274348796045121
0 days 00:21:58,G23,0.3273694188129078
0 days 00:22:37,G23,0.3270421148548866
0 days 00:23:16,G23,0.3270421148548866
0 days 00:23:55,G23,0.3270421148548866
0 days 00:24:34,G23,0.32658388931365673
0 days 00:25:13,G23,0.32678027168846957
0 days 00:25:52,G23,0.3270421148548866
0 days 00:26:31,G23,0.3269766540632823
0 days 00:27:10,G23,0.3260602029808226
0 days 00:27:49,G23,0.3274348796045121
0 days 00:28:28,G23,0.3271075756464908
0 days 00:29:07,G23,0.3267802716884695
0 days 00:29:46,G23,0.326387506938844
0 days 00:30:25,G23,0.3268457324800738
0 days 00:31:04,G23,0.3263220461472397
0 days 00:31:43,G23,0.3271075756464908
0 days 00:32:22,G23,0.32658388931365673
0 days 00:33:01,G23,0.32638750693884394
0 days 00:33:40,G23,0.326649350105261
0 days 00:34:19,G23,0.32638750693884394
0 days 00:34:58,G23,0.32632204614723964
0 days 00:35:37,G23,0.3262565853556354
0 days 00:36:16,G23,0.32560197743959285
0 days 00:36:55,G23,0.32619112456403115
