time(s),A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B8,C1,C2,C3,C5,C6,C7,C8,D1,D2,D3,D5,D6,D7,D8,E1,E2,E3,E5,E6,E7,E8,F1,F2,F3,F5,F6,F7,F8,G1,G2,G3,G5,G6,G7,G8,H1,H2,H3,H5,H6,H7,H8,I1,I2,I3,I5,I6,I7,I8,J1,J2,J3,J5,J6,J7,J8,K1,K2,K3,K5,K6,K7,K8,L1,L2,L3,L5,L6,L7,L8,M1,M2,M3,M5,M6,M7,M8,N1,N2,N3,N5,N6,N7,N8,O1,O2,O3,O5,O6,O7,O8,P1,P2,P5,P6,P7,P8
31.0,0.2715811963336685,0.10296982519350209,0.05505252573918326,5.669376979749735,5.922384017775922,0.1781188139551934,0.16947798946343098,0.19631098118324034,0.06133676173319227,0.02048922777213359,1.2696840170339285,1.2227900783173649,0.16921614629701395,0.17680959812310817,0.11213433601809861,0.04065115158624589,,0.35499376444021963,0.36609446041713156,0.1723582642940185,0.1684306167977628,0.040127465253411806,0.02075107093855063,,0.20011363993422504,0.19409124710663303,0.17288195062685255,0.16633587146642645,0.17602406862385708,0.0749526063868785,0.04955381924442536,4.702586903667044,4.849776244257539,0.09537637336740784,0.0888302942069818,0.11344355185018382,0.037509033589241375,0.015514207610209782,1.0721648262604453,1.039817613042602,0.0951145302009908,0.09275794170323741,0.060289389067524096,0.021798443604218804,,0.29949028455566024,0.2838601865594571,0.09720927553232714,0.09459084386815672,0.024416875268389232,,,0.13753312316055177,0.13203441666579382,0.09459084386815672,0.09354347120248854,0.09432900070173968,0.0443169559160845,0.04169852425191407,5.728855445947087,4.162569751702316,0.04038930841982885,0.03986562208699476,0.04850644657875718,0.017870796107963157,,1.084194646263008,1.0181506924562327,0.04222221058474815,0.04038930841982885,0.025726091100474448,,,0.24689229429888293,0.2479925203575581,0.04143668108549702,0.04143668108549702,,,,0.08935398053981589,0.08725923520847953,0.03986562208699476,0.04117483791907998,0.052695937241429874,0.04300774008399928,0.04143668108549702,4.7605916564159045,5.073996166609707,0.015514207610209782,0.014990521277375697,0.02048922777213359,,,1.0469378081302512,1.013547402864741,0.01446683494454161,0.014204991778124567,,,,0.23262426552777196,0.24076661848389486,0.01525236444379274,0.016561580275877955,,,0.065788095562282,0.065788095562282,0.017347109775129085,0.01446683494454161
70.0,0.33470964654081536,0.11717481697162668,0.057998261361375,5.694266616037157,5.913146392073589,0.20990549094041275,0.20228682431712397,0.23815449051902304,0.07266147868072939,0.022911277061491243,1.2792900710983846,1.2288360348379965,0.2058469218609486,0.21451296114990553,0.12817222996114247,0.04778637787111032,0.01374676623689475,0.3768615487367235,0.3898732150687561,0.20406687308903626,0.20176313798428985,0.04228767137635242,0.02343496339432533,,0.2150114326855451,0.20995834433341973,0.2078107456090764,0.20453770602886337,0.19998308921237756,0.08208783267174294,0.0506666527016978,4.76013008849573,4.878532313412208,0.11586560113954147,0.10958136514553243,0.13655121128648784,0.04333504404202059,0.01715072740031631,1.0810340236006564,1.0458635695632337,0.11769850330446077,0.11455638530745625,0.07056673334939305,0.025529708725661675,,0.3158593623574062,0.2966691668173784,0.11769850330446077,0.11665113063879261,0.027362610890580976,,,0.15618944876776608,0.14938152644092295,0.11638928747237556,0.11638928747237556,0.10774846298061314,0.04673900520544215,0.04228767137635242,5.705377430069455,4.211212692671442,0.048571907370361454,0.0488337505367785,0.058260104527792046,0.020031002230903767,,1.0802971668764112,1.0160332618415482,0.0506666527016978,0.049619280036029625,0.030504728887585493,,,0.25168984318388987,0.25074817730423565,0.050142966368863714,0.0506666527016978,0.01374676623689475,,,0.09727473632393141,0.09544183415901211,0.0488337505367785,0.0506666527016978,0.05590351603003866,0.04333504404202059,0.04124029871068425,4.754177271533149,5.055858297047811,0.01767441373315038,0.01715072740031631,0.022911277061491243,,,1.03948023119983,1.0124731642977236,0.01715072740031631,0.016888884233899264,,,,0.2344634713919899,0.24208213801527867,0.017936256899567425,0.020554688563737857,,,0.0684719880180567,0.0684719880180567,0.020031002230903767,0.016888884233899264
109.0,0.39651627351727964,0.13177257349937682,0.06055123223394114,5.663546283929516,5.859285425931086,0.2480705885477596,0.24084468667409634,0.2753250688537086,0.08385527404505798,0.025464247934057407,1.2965068697549733,1.2332861567677773,0.24097560825730488,0.2557673233612499,0.14172261382322446,0.054266996239932135,0.015514207610209782,0.40083668576316084,0.4129847544057409,0.24032100034126225,0.23814818681972438,0.04379326958325041,0.025726091100474448,,0.24464141258714348,0.23702274596385467,0.24445763761092792,0.23874994134276,0.2317078144453123,0.08935398053981589,0.05243409407501283,4.800487521187179,4.88758572493348,0.13465284832996427,0.1299396713344575,0.15795689014108108,0.04955381924442536,0.018132639274380198,1.0801439992147004,1.0304268196785575,0.13805680949338586,0.13517653466279836,0.07940394021596825,0.028868209097478965,,0.3250427842798985,0.3113236566388162,0.13700943682771768,0.13700943682771768,0.029653738596730095,,,0.17392932329252073,0.16633587146642645,0.1364857504948836,0.1364857504948836,0.12103700367627807,0.04903013291159127,0.04248405375116519,5.716210890362639,4.229903204776521,0.05662358473768552,0.05740911423693665,0.06735915456078426,0.022060286770635845,,1.0776270937185428,1.021526575818996,0.05898017323543888,0.05793280056977074,0.034890601925070944,,,0.2582019800492048,0.25561118698084684,0.05845648690260479,0.05950385956827297,0.015514207610209782,,,0.10454088419200436,0.10270798202708505,0.05714727107051961,0.059242016401855925,0.05898017323543888,0.04379326958325041,0.04091299475266293,4.766790780598246,5.011634431489116,0.0199655414392995,0.01970369827288246,0.025726091100474448,,,1.048533642721102,1.0250866733628206,0.019441855106465414,0.019180011940048373,0.013681305445290481,,,0.23649905963102058,0.24320127517184972,0.02048922777213359,0.023107659436304016,,,0.07023942939137173,0.07050127255778878,0.022845816269886975,0.019180011940048373
148.0,0.4582379226545893,0.1468285555683568,0.06356242864773715,5.669453563580591,5.86206312943916,0.28180508127287596,0.27622830658791653,0.31097053193394597,0.0949836086177823,0.02795175801501933,1.3038878628545394,1.2434903906869228,0.27609738500470804,0.29298384543998934,0.15311279156236585,0.06094399698356672,0.01747803135833762,0.42176850192965465,0.4378694328656849,0.27031162054633856,0.2707043852959641,0.04470972066571007,0.02795175801501933,,0.2688462683338503,0.2623530425664312,0.2798412575247482,0.2733480317573291,0.26334756183909236,0.09707835394911864,0.05361238832388954,4.835918773236518,4.906690202712187,0.15258910522953176,0.14839961456685907,0.17851157870481893,0.0551834473223918,0.01957277668967395,1.0839648947704417,1.0388510048257906,0.15756412539145556,0.15442200739445103,0.08739015679168807,0.03240309184410906,,0.3366539532413928,0.3196365712229029,0.1559930663929533,0.15625490955937035,0.03214124867769202,0.013550383862081974,,0.1916037370256711,0.1824392262010746,0.1559930663929533,0.1559930663929533,0.13478376991317284,0.051517642992553195,0.042876818500790774,5.703705011647749,4.259994310510123,0.06434795814698828,0.06539533081265646,0.07639274380217226,0.024285953685180727,,1.0842712300938635,1.0317308097381415,0.06696638981115871,0.07141772364024844,0.03894917100453513,0.01407407019491606,,0.2573780224045074,0.26025829723509486,0.06644270347832462,0.06801376247682689,0.017216188191920577,,,0.111479728102056,0.10990866910355375,0.06539533081265646,0.06827560564324392,0.06251505598206898,0.04418603433287599,0.040782073169454425,4.79835559978034,5.006248747861874,0.022714894686678467,0.022453051520261426,0.028475444347853415,,,1.054134587048756,1.0207441817832459,0.02219120835384438,0.02192936518742734,0.015383286027001276,,,0.2374022973652285,0.2427172288837709,0.024285953685180727,0.02611885585010003,,,0.07194140997308253,0.07298878263875071,0.0253333263508489,0.021667522021010296
187.0,0.49752363174949094,0.1628009887197964,0.06644270347832461,5.684292133610578,5.842774437479392,0.314531235427425,0.30934722549209115,0.34461313717095465,0.10676655110654922,0.030570189679189747,1.3215496737041064,1.2647122990803141,0.30934722549209115,0.32879926419853595,0.1628009887197964,0.0669663898111587,0.01904909035683985,0.4455667736288297,0.4617986261480685,0.3004721964297241,0.3030377747008876,0.0449715638321271,0.029784660179938617,,0.29691209888589953,0.2879842164305255,0.3128292548457142,0.30555049957904407,0.293769980888895,0.10440996260879583,0.05492160415597474,4.860700779173735,4.919011867246017,0.1701325973794736,0.16541942038396681,0.1911924320395107,0.0609439969835667,0.020881992521759152,1.1016267056200084,1.048349428540041,0.1756313038742315,0.17222734271080994,0.09472176545136524,0.03554520984111355,,0.3480951665245777,0.3322032253619575,0.1732747153764781,0.17432208804214624,0.033712307676194264,0.014859599694167175,,0.1978165793901383,0.18915054010118137,0.17379840170931216,0.17458393120856333,0.14813777140044201,0.05413607465672361,0.04287681850079076,5.73517669127179,4.275876072587778,0.07194140997308252,0.07351246897158477,0.08503356829393467,0.026380699016517056,,1.0955497025800263,1.0330658463170757,0.07482168480366999,0.07979670496559381,0.04287681850079076,0.01538328602700126,,0.2627187746698988,0.2657299710836948,0.07403615530441886,0.0761309006357552,0.018525404024005765,,,0.11776396409606503,0.11645474826397981,0.07325062580516772,0.07639274380217224,0.06565717397907347,0.04470972066571006,0.04078207316945441,4.799996971682695,4.988309583273194,0.0248096400180148,0.0248096400180148,0.031093876012023833,,,1.0519095260838656,1.028462556725584,0.0248096400180148,0.024285953685180713,0.01695434502550352,,,0.23761189308829303,0.24470687337874775,0.026118855850100015,0.028737287514270446,,,0.07403615530441886,0.07482168480366999,0.02821360118143636,0.024285953685180713
226.0,0.5616053875383342,0.1786425002880275,0.06945389989212061,5.69761145288057,5.8535768512532265,0.34276762760743806,0.34001827436005916,0.37554602920533964,0.11763304251285653,0.033057699760151674,1.346592477653239,1.2798116671222184,0.34179832313197145,0.3624286560872929,0.17052536212909916,0.07233417472270809,0.020751070938550643,0.4441221685921217,0.4619226563112449,0.3299649510488154,0.3327923724863959,0.04536432858175268,0.03122479759523237,,0.3253574808393226,0.3161677552175316,0.3456731172352201,0.33391781334226556,0.3245719513400715,0.11187249285168158,0.05609989840485145,4.8921269214862715,4.940494573651325,0.1864977952805388,0.18204646145144904,0.20754259874336073,0.06683546822795018,0.02206028677063586,1.1003992993912801,1.0598886990381204,0.1933057176073819,0.18937807011112626,0.1011369230285828,0.03855640625490956,,0.3589994801266768,0.34376214688009926,0.18937807011112626,0.19147281544246259,0.035152445091488,0.016037893943043884,,0.21298845184511167,0.20175683428499125,0.1909491291096285,0.19147281544246259,0.16136085130450267,0.05636174157126849,0.04326958325041634,5.726829089955412,4.290975440629682,0.07888025388313417,0.08071315604805347,0.09328162803607151,0.028344522764644893,,1.0808187629002446,1.0318384400883471,0.0820223718801387,0.08830660787414772,0.04614985808100381,0.01656158027587797,,0.26652810798154314,0.26927746122892215,0.0814986855473046,0.08385527404505799,0.019703698272882472,,,0.12365543534044851,0.12208437634194626,0.08071315604805347,0.08411711721147504,0.06893021355928654,0.04510248541533564,0.04065115158624591,4.809756193408863,4.985302128272554,0.02703530693255968,0.027297150098976722,0.033581386092985756,0.013419462278873452,,1.063448796581945,1.0382217784517511,0.02703530693255968,0.026773463766142636,0.018394482440797257,,,0.23971924581822668,0.24555786366960314,0.028344522764644893,0.03122479759523237,,,0.07547629271971261,0.07652366538538079,0.03043926809598124,0.026773463766142636
265.0,0.6158968750816598,0.19520408056390545,0.07266147868072939,5.7111915701624785,5.857213532627907,0.3729345071901223,0.3701851539427433,0.4084094086423958,0.1284340731275595,0.03574159221592634,1.3573493541155686,1.2852283972688108,0.3724888890474898,0.39594664344039165,0.1776605884139636,0.0781601851754873,0.0226494338950742,0.4663727782410256,0.4877333635039732,0.35908445796583144,0.3600009090482911,0.045429789373356934,0.032599474218921835,,0.3528278605676348,0.3410725566746804,0.3721489776908712,0.3632991634256987,0.35704256602750206,0.1203169349686312,0.057998261361375,4.916387331399653,4.949471401341742,0.20201200289074858,0.19808435539449296,0.22391228249476108,0.07266147868072939,0.02343496339432533,1.115759465445101,1.067085477956625,0.20105628262489472,0.20567780722058718,0.10774846298061314,0.04150214187710129,,0.37070884027557743,0.3550787422793743,0.19362139097782144,0.1964488124154019,0.036265278548760424,0.01715072740031631,,0.22804891976442682,0.21846642939301017,0.1963178908321934,0.19657973399861045,0.17556584308262724,0.05930747719346019,0.04385873037485468,5.739366015189654,4.315235850543065,0.08601548016799859,0.08811022549933493,0.10146422698660411,0.030504728887585493,0.013484923070477706,1.0943988801821534,1.045418557370256,0.08968128449783719,0.09675104999109732,0.049619280036029625,0.01767441373315038,,0.27292253661190136,0.2737609195041595,0.08837206866575198,0.09151418666275646,0.020816531730154898,,,0.12948144579322768,0.12817222996114247,0.08811022549933493,0.09203787299559055,0.07266147868072939,0.04569163253977398,0.04071661237785016,4.816952972327368,4.98537871210341,0.029457356221917322,0.029719199388334363,0.036265278548760424,0.014008609403311792,,1.0706455755004498,1.0436385085983437,0.029719199388334363,0.029195513055500277,0.019769159064486726,,,0.2405897531566324,0.24847026294633828,0.03102841522041958,0.03417053321742408,,,0.07711281250981912,0.0781601851754873,0.033123160551755924,0.029195513055500277
304.0,0.6869146480239559,0.19714306037619977,0.07593451826094243,5.7279633566260895,5.846978252189411,0.4042595580244783,0.3984209401731018,0.4376925675384225,0.13982425086670092,0.038490945463305296,1.378418094847249,1.3091203788200705,0.40216481269314197,0.42693178291812917,0.18355205965834706,0.08352797008703668,0.024613257643202022,0.492183485433754,0.5171041682405264,0.3860638817571117,0.38632572492352873,0.0458225541229825,0.03377776846779853,,0.381456411547619,0.3687846565722048,0.4042595580244783,0.38962397930093634,0.3880277055052396,0.12804130837793395,0.05943839877666871,4.949179556810475,4.975143431664914,0.20523255993931566,0.20135776583606702,0.2401837750587551,0.07829110675869581,0.024613257643202022,1.1297080110891324,1.0874173619640604,0.22023326481667074,0.20910735404256434,0.1136399342249966,0.04477518145731433,0.014139530986520314,0.38271277398669723,0.36708267599049405,0.20884551087614728,0.2101547267082325,0.037443572797637124,0.018067178482775944,,0.24327303966275263,0.22934492224826025,0.2118038538969363,0.21002380512502397,0.18575288263705841,0.06205683044083914,0.04425149512448024,5.756874658377511,4.330964444959008,0.0929543240780502,0.09557275574222063,0.10918860039590687,0.03273039580213036,0.01387768782010327,1.098403989918956,1.0494236671070585,0.0966201284078888,0.10526095289965123,0.05289231961624266,0.01911455114844412,,0.27552775492782006,0.27966439219748573,0.09557275574222063,0.09897671690564219,0.02199482597903159,,,0.13484923070477706,0.13354001487269188,0.09557275574222063,0.09950040323847628,0.07645820459377652,0.04634624045581659,0.04084753396105868,4.839801761830961,4.988340629792545,0.03194486630287923,0.032206709469296275,0.03901463179613938,0.0146632173193544,,1.0810340236006564,1.03948023119983,0.032206709469296275,0.03194486630287923,0.021471139646197505,,,0.24366580441237817,0.2514153926188755,0.03377776846779853,0.036919886464803035,,,0.0788147930915299,0.07986216575719808,0.035872513799134864,0.031683023136462186
343.0,0.7479413465656121,0.2186237776727222,0.07894571467473842,5.760202939493727,5.845827429791537,0.43071529548292453,0.4223110993603846,0.46506475607932835,0.1506907422730082,0.04124029871068425,1.388990757128517,1.3232531386451631,0.4288823933180052,0.45647678498057287,0.18839615823706232,0.08837206866575198,0.02605339505849576,0.5179941926264825,0.5393547778894303,0.40843583533889927,0.41047772727722864,0.04569163253977398,0.03495606271667521,0.013484923070477706,0.40791214900606515,0.39497855086423395,0.42893524671101224,0.41377598165463614,0.41974552108922114,0.13602752495365378,0.06087853619196245,4.994922673129166,4.98393604517427,0.22375493421504908,0.21618912098476728,0.255669738123498,0.08313520533741112,0.02605339505849576,1.1285571886912595,1.0916066858819244,0.23189728717117195,0.2239387091912646,0.119007719136546,0.04726269153827624,0.01479413890256292,0.39505661905443556,0.3789556881184053,0.22380778760805606,0.2251170034401413,0.03836002388009677,0.018983629565235596,,0.2577116300618273,0.24365259106412646,0.2286771009839659,0.22689705221205358,0.19828050268101227,0.0648061836882181,0.04438241670768876,5.785554143701322,4.341537107240276,0.09936948165526775,0.10251159965227227,0.11691297380520965,0.03469421955025817,0.014270452569728835,1.1054165546563994,1.0564362318445017,0.10355897231794045,0.11324716947537104,0.056165359196455704,0.020031002230903767,,0.27978210043244256,0.2821386889301959,0.10224975648585523,0.10617740398211088,0.022911277061491243,,,0.14021701561632646,0.13838411345140716,0.10251159965227227,0.10670109031494497,0.07973124417398955,0.047000848371859194,0.04071661237785016,4.866701198382861,4.992836289033831,0.03417053321742408,0.034432376383841126,0.04150214187710129,0.015055982068979965,,1.0798832012027835,1.0447127471653612,0.034432376383841126,0.03417053321742408,0.0226494338950742,,,0.2444381205633776,0.2524495519362919,0.036003435382343386,0.03966923971218199,,,0.0799930873404066,0.08130230317249182,0.03836002388009677,0.03417053321742408
382.0,0.8002830619481185,0.23215973628724346,0.08234967583815998,5.756750472300109,5.869382029500025,0.45312628315981285,0.44715674372522785,0.4672628026269817,0.16142631209610692,0.043596887208437636,1.416411789704251,1.329744107358773,0.45359711609963993,0.4637027050831571,0.192585648899735,0.09334708882767577,0.02788629722341506,0.5384647535034741,0.5562652412225972,0.4326268717876998,0.4351924500588633,0.04569163253977398,0.03574159221592634,0.014270452569728835,0.4354542932252803,0.4196152054556671,0.45351904790943837,0.4386216260194794,0.4495133322229812,0.14388281994616506,0.062187752024047666,5.0031936906146885,5.008533836930424,0.2357198338310681,0.22789217743436924,0.2721111863658012,0.08837206866575198,0.02683892455774689,1.1495948829035896,1.102700944187026,0.24564223555910328,0.23603453039049213,0.12372089613205277,0.04988112320244667,0.01557966840181405,0.40419409723287403,0.389087685569505,0.23755273599598742,0.23873103024486408,0.0391455533793479,0.019769159064486726,,0.2696765296778463,0.2550938043473114,0.2426838925383143,0.24064200059998492,0.20985263754740574,0.06742461535238853,0.04490610304052285,5.795605209958758,4.352631365545378,0.10617740398211088,0.10905767881269836,0.12450642563130387,0.03652712171517747,0.01479413890256292,1.1129507154176763,1.0558070054704625,0.11036689464478357,0.12057877813504825,0.059045634027043145,0.021340218062988983,,0.28512285269783394,0.2849138629244239,0.10879583564628131,0.11272348314253695,0.023958649727159415,,,0.14493019261183324,0.14362097677974803,0.1093195219791154,0.11377085580820513,0.08313520533741112,0.04752453470469328,0.040454769211433116,4.87601540791605,4.984043675524476,0.036265278548760424,0.03652712171517747,0.04412057354127172,0.01557966840181405,,1.0810340236006564,1.0476436183351465,0.03705080804801156,0.03652712171517747,0.023958649727159415,,,0.24477863786965062,0.2523973044929394,0.03836002388009677,0.04176398504351833,,,0.08130230317249182,0.08261151900457703,0.04124029871068425,0.03652712171517747
