experiment ID	Time	Values[nadh]	Values[fdh]_0	Values[23bdo]_0	Values[actn]_0	Values[nad]_0	Values[formate]_0	Values[nadh]_0	Values[co2]_0
#experiment ID	Time (min)	NADH	FDH (U)	2,3-BD	Acetoin	NAD+	Na-Formate	NADH	CO2

id	t	c	e	c	c	c	c	c	c
meta	time	dependent	independent	ignore	ignore	independent	independent	independent	independent
A6	67.2	4.88							
A6	72	4.88							
A6	76.8	4.88							
A6	81.6	4.87							
A6	86.4	4.86							
A6	91.2	4.85							
A6	96	4.84							
A6	100.8	4.83							
A6	105.6	4.82							
A6	110.4	4.8							
A6	115.2	4.79							
A6	120	4.77							

A7	0	0	1	0	0	10	50	0	0
A7	24	2.48							
A7	48	3.84							
A7	72	4.77							
A7	96	5.42							
A7	120	5.93							
A7	144	6.34							
A7	168	6.67							
A7	192	6.94							
A7	216	7.16							
A7	240	7.34							
A7	264	7.48							
A7	288	7.6							
A7	312	7.69							
A7	336	7.78							
A7	360	7.87							
A7	384	7.94							
A7	408	7.99							
A7	432	8.01							
A7	456	8.01							
A7	480	8.02							
A7	504	8.01							
A7	528	7.99							
A7	552	7.97							
A7	576	7.92							

A8	0	0	1	0	0	10	500	0	0
A8	24	4.25							
A8	48	6.75							
A8	72	8.18							
A8	96	8.95							
A8	120	9.38							
A8	144	9.56							
A8	168	9.62							
A8	192	9.61							
A8	216	9.57							
A8	240	9.51							
A8	264	9.4							
A8	288	9.31							
A8	312	9.2							
A8	336	9.07							
A8	360	8.95							
A8	384	8.83							
A8	408	8.7							
A8	432	8.58							
A8	456	8.45							
A8	480	8.34							
A8	504	8.21							
A8	528	8.1							
A8	552	8							

A9	0	0	1	0	0	10	1500	0	0
A9	24	4.75							
A9	48	7.45							
A9	72	8.71							
A9	96	9.23							
A9	120	9.4							
A9	144	9.39							
A9	168	9.31							
A9	192	9.21							
A9	216	9.09							
A9	240	8.95							
A9	264	8.81							
A9	288	8.68							
A9	312	8.54							
A9	336	8.41							
A9	360	8.29							
A9	384	8.17							
A9	408	8.03							
A9	432	7.91							
A9	456	7.78							
A9	480	7.66							
A9	504	7.54							
A9	528	7.42							
A9	552	7.3							
A9	576	7.18							
